id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,false,18.0,,11.514104415492703
2,NL_Wind_Onshore,2030,false,49.0,,495.7728562207288
3,NL_Wind_Offshore,2030,false,49.0,,0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,8.0
7,NL_OCGT,2030,true,357.0,,0.0
8,NL_Battery,2030,false,100.0,,0.0
9,BE_Solar,2030,false,18.0,,450.82084924516835
10,BE_Wind_Onshore,2030,false,49.0,,401.23866949043054
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,-0.0
13,BE_CCGT,2030,true,357.0,,4.0
14,BE_OCGT,2030,true,357.0,,0.0
15,BE_Battery,2030,false,100.0,,3.381244469105154
16,DE_Solar,2030,false,18.0,,2703.3539474863637
17,DE_Wind_Offshore,2030,false,49.0,,0.0
18,DE_Coal,2030,true,824.0,,24.0
19,DE_Nuclear,2030,true,2095.0,,-0.0
20,DE_CCGT,2030,true,357.0,,16.0
21,DE_OCGT,2030,true,357.0,,12.0
22,DE_Battery,2030,false,100.0,,27.721765954124493
23,FR_Wind_Onshore,2030,false,49.0,,2336.514851906305
24,FR_Wind_Offshore,2030,false,49.0,,0.0
25,FR_Coal,2030,true,824.0,,7.0
26,FR_Nuclear,2030,true,2095.0,,-0.0
27,FR_OCGT,2030,true,357.0,,1.0
28,FR_Battery,2030,false,100.0,,20.42309263724448
29,LU_Solar,2030,false,18.0,,210.03466872450022
30,LU_Wind_Onshore,2030,false,49.0,,0.0
31,LU_Wind_Offshore,2030,false,49.0,,0.0
