id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,false,18.0,,110.85470271866014
2,NL_Wind_Onshore,2030,false,49.0,,508.87364914854874
3,NL_Wind_Offshore,2030,false,49.0,,0.0
4,NL_Coal,2030,true,824.0,,7.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,7.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,100.0,,0.0
9,BE_Solar,2030,false,18.0,,293.2132255742485
10,BE_Wind_Onshore,2030,false,49.0,,372.3225323971598
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,-0.0
13,BE_CCGT,2030,true,357.0,,6.0
14,BE_OCGT,2030,true,357.0,,0.0
15,BE_Battery,2030,false,100.0,,0.0
16,DE_Solar,2030,false,18.0,,3100.9429839206146
17,DE_Wind_Offshore,2030,false,49.0,,0.0
18,DE_Coal,2030,true,824.0,,21.0
19,DE_Nuclear,2030,true,2095.0,,-0.0
20,DE_CCGT,2030,true,357.0,,23.0
21,DE_OCGT,2030,true,357.0,,9.0
22,DE_Battery,2030,false,100.0,,0.0
23,FR_Wind_Onshore,2030,false,49.0,,2317.205628791348
24,FR_Wind_Offshore,2030,false,49.0,,0.0
25,FR_Coal,2030,true,824.0,,6.0
26,FR_Nuclear,2030,true,2095.0,,-0.0
27,FR_OCGT,2030,true,357.0,,1.0
28,FR_Battery,2030,false,100.0,,1.2970432717041696
29,LU_Solar,2030,false,18.0,,193.29063688258125
30,LU_Wind_Onshore,2030,false,49.0,,0.0
31,LU_Wind_Offshore,2030,false,49.0,,0.0
32,LU_Coal,2030,true,824.0,,-0.0
33,LU_Nuclear,2030,true,2095.0,,-0.0
34,LU_CCGT,2030,true,357.0,,1.0
35,LU_OCGT,2030,true,357.0,,1.0
36,LU_Battery,2030,false,100.0,,0.18297679774621303
37,CH_Solar,2030,false,18.0,,704.4398794028256
38,CH_Wind_Onshore,2030,false,49.0,,27.43598361079875
39,CH_Wind_Offshore,2030,false,49.0,,0.0
40,CH_Coal,2030,true,824.0,,6.0
41,CH_Nuclear,2030,true,2095.0,,-0.0
42,CH_OCGT,2030,true,357.0,,-0.0
43,UK_Solar,2030,false,18.0,,0.0
44,UK_Coal,2030,true,824.0,,-0.0
45,UK_Nuclear,2030,true,2095.0,,-0.0
46,UK_CCGT,2030,true,357.0,,11.0
47,UK_OCGT,2030,true,357.0,,14.0
48,UK_Battery,2030,false,100.0,,0.22302102284374997
49,DK_Solar,2030,false,18.0,,0.0
50,DK_Coal,2030,true,824.0,,-0.0
51,DK_Nuclear,2030,true,2095.0,,-0.0
52,DK_OCGT,2030,true,357.0,,-0.0
53,DK_Battery,2030,false,100.0,,0.0
54,NO_Solar,2030,false,18.0,,0.0
55,NO_Wind_Onshore,2030,false,49.0,,824.6584291312112
56,NO_Wind_Offshore,2030,false,49.0,,0.0
57,NO_Nuclear,2030,true,2095.0,,-0.0
58,NO_CCGT,2030,true,357.0,,-0.0
59,NO_OCGT,2030,true,357.0,,3.0
60,NO_Battery,2030,false,100.0,,0.0
61,IE_Wind_Offshore,2030,false,49.0,,0.0
62,IE_Coal,2030,true,824.0,,-0.0
63,IE_Nuclear,2030,true,2095.0,,-0.0
64,IE_CCGT,2030,true,357.0,,-0.0
65,IE_OCGT,2030,true,357.0,,0.0
66,SE_Wind_Onshore,2030,false,49.0,,729.076145032238
67,SE_Coal,2030,true,824.0,,0.0
68,SE_Nuclear,2030,true,2095.0,,-0.0
69,SE_CCGT,2030,true,357.0,,21.0
70,SE_OCGT,2030,true,357.0,,6.0
71,SE_Battery,2030,false,100.0,,0.0
72,AT_Solar,2030,false,18.0,,42.31210535855623
73,AT_Wind_Onshore,2030,false,49.0,,532.9719545263538
74,AT_Wind_Offshore,2030,false,49.0,,0.0
75,AT_Coal,2030,true,824.0,,1.0
76,AT_Nuclear,2030,true,2095.0,,-0.0
77,AT_CCGT,2030,true,357.0,,4.0
78,AT_OCGT,2030,true,357.0,,-0.0
79,AT_Battery,2030,false,100.0,,0.0
80,CZ_Solar,2030,false,18.0,,241.37130627037368
81,CZ_Wind_Offshore,2030,false,49.0,,0.0
82,CZ_Nuclear,2030,true,2095.0,,-0.0
83,CZ_CCGT,2030,true,357.0,,2.0
84,CZ_OCGT,2030,true,357.0,,2.0
85,CZ_Battery,2030,false,100.0,,2.0465652265711585
86,PL_Solar,2030,false,18.0,,770.2779983799079
87,PL_Wind_Onshore,2030,false,49.0,,648.2541385851868
88,PL_Wind_Offshore,2030,false,49.0,,0.0
89,PL_Coal,2030,true,824.0,,6.0
90,PL_Nuclear,2030,true,2095.0,,-0.0
91,PL_OCGT,2030,true,357.0,,2.0
92,PL_Battery,2030,false,100.0,,0.0
93,ES_Solar,2030,false,18.0,,1253.8983776660361
94,ES_Wind_Onshore,2030,false,49.0,,1325.7347485265282
95,ES_Wind_Offshore,2030,false,49.0,,0.0
96,ES_Coal,2030,true,824.0,,11.0
97,ES_Nuclear,2030,true,2095.0,,-0.0
98,ES_CCGT,2030,true,357.0,,16.0
99,ES_OCGT,2030,true,357.0,,17.0
100,ES_Battery,2030,false,100.0,,11.152722351340392
101,IT_Solar,2030,false,18.0,,3335.7366181663197
102,IT_Wind_Offshore,2030,false,49.0,,0.0
103,IT_Nuclear,2030,true,2095.0,,-0.0
104,IT_CCGT,2030,true,357.0,,8.0
105,IT_OCGT,2030,true,357.0,,23.0
106,IT_Battery,2030,false,100.0,,2.3715348258382436
107,LT_Wind_Onshore,2030,false,49.0,,7.38042326291141
108,LT_Wind_Offshore,2030,false,49.0,,0.0
109,LT_Coal,2030,true,824.0,,1.0
110,LT_Nuclear,2030,true,2095.0,,-0.0
111,LT_CCGT,2030,true,357.0,,0.0
112,LT_OCGT,2030,true,357.0,,0.0
113,LT_Battery,2030,false,100.0,,0.0
114,FI_Solar,2030,false,18.0,,303.4248287123195
115,FI_Wind_Onshore,2030,false,49.0,,558.3890314693876
116,FI_Coal,2030,true,824.0,,3.0
117,FI_Nuclear,2030,true,2095.0,,-0.0
118,FI_OCGT,2030,true,357.0,,1.0
119,FI_Battery,2030,false,100.0,,0.17685389324819145
120,SI_Solar,2030,false,18.0,,223.82705114285812
121,SI_Wind_Onshore,2030,false,49.0,,0.0
122,SI_Wind_Offshore,2030,false,49.0,,0.0
123,SI_Coal,2030,true,824.0,,1.0
124,SI_OCGT,2030,true,357.0,,2.0
125,HU_Solar,2030,false,18.0,,112.41097068125393
126,HU_Wind_Onshore,2030,false,49.0,,147.28342506501573
127,HU_Wind_Offshore,2030,false,49.0,,0.0
128,HU_Coal,2030,true,824.0,,6.0
129,HU_Nuclear,2030,true,2095.0,,-0.0
130,HU_CCGT,2030,true,357.0,,-0.0
131,HU_OCGT,2030,true,357.0,,6.0
132,HU_Battery,2030,false,100.0,,0.0
133,SK_Wind_Onshore,2030,false,49.0,,72.0980727573097
134,SK_Wind_Offshore,2030,false,49.0,,0.0
135,SK_Nuclear,2030,true,2095.0,,-0.0
136,SK_CCGT,2030,true,357.0,,0.0
137,SK_OCGT,2030,true,357.0,,-0.0
138,SK_Battery,2030,false,100.0,,0.0
139,PT_Solar,2030,false,18.0,,187.99270046976605
140,PT_Wind_Onshore,2030,false,49.0,,341.3554106683081
141,PT_Wind_Offshore,2030,false,49.0,,0.0
142,PT_Coal,2030,true,824.0,,2.0
143,PT_Nuclear,2030,true,2095.0,,-0.0
144,PT_CCGT,2030,true,357.0,,1.0
145,PT_OCGT,2030,true,357.0,,7.0
146,PT_Battery,2030,false,100.0,,1.357120772789091
147,HR_Solar,2030,false,18.0,,15.790058697713478
148,HR_Wind_Onshore,2030,false,49.0,,131.9841740547372
149,HR_Coal,2030,true,824.0,,0.0
150,HR_CCGT,2030,true,357.0,,-0.0
151,HR_OCGT,2030,true,357.0,,-0.0
152,HR_Battery,2030,false,100.0,,0.0
153,RO_Solar,2030,false,18.0,,208.00628939081201
154,RO_Wind_Onshore,2030,false,49.0,,273.55249729938754
155,RO_Wind_Offshore,2030,false,49.0,,0.0
156,RO_Coal,2030,true,824.0,,2.0
157,RO_Nuclear,2030,true,2095.0,,-0.0
158,RO_CCGT,2030,true,357.0,,2.0
159,RO_OCGT,2030,true,357.0,,0.0
160,RO_Battery,2030,false,100.0,,0.0
161,GR_Solar,2030,false,18.0,,16.658824868045702
162,GR_Wind_Onshore,2030,false,49.0,,252.91127653623158
163,GR_Coal,2030,true,824.0,,3.0
164,GR_Battery,2030,false,100.0,,0.0
165,LV_Solar,2030,false,18.0,,0.0
166,LV_Wind_Onshore,2030,false,49.0,,0.0
167,LV_Wind_Offshore,2030,false,49.0,,0.0
168,LV_Nuclear,2030,true,2095.0,,-0.0
169,LV_CCGT,2030,true,357.0,,-0.0
170,LV_OCGT,2030,true,357.0,,0.0
171,LV_Battery,2030,false,100.0,,0.0
172,EE_Solar,2030,false,18.0,,60.75751866583468
173,EE_Wind_Onshore,2030,false,49.0,,17.06652493981824
174,EE_Coal,2030,true,824.0,,0.0
175,EE_CCGT,2030,true,357.0,,0.0
176,EE_OCGT,2030,true,357.0,,0.0
177,EE_Battery,2030,false,100.0,,2.8558767986776274
178,MT_Solar,2030,false,18.0,,149.38152755511393
179,MT_Wind_Onshore,2030,false,49.0,,0.0
180,MT_Wind_Offshore,2030,false,49.0,,0.0
181,MT_CCGT,2030,true,357.0,,-0.0
182,MT_OCGT,2030,true,357.0,,-0.0
183,MT_Battery,2030,false,100.0,,6.66272573354566
184,CY_Solar,2030,false,18.0,,173.69296649026737
185,CY_Wind_Onshore,2030,false,49.0,,0.0
186,CY_Coal,2030,true,824.0,,0.0
187,CY_Nuclear,2030,true,2095.0,,-0.0
188,CY_CCGT,2030,true,357.0,,1.0
189,BG_Solar,2030,false,18.0,,139.69013271985324
190,BG_Wind_Onshore,2030,false,49.0,,220.4624473815566
191,BG_Wind_Offshore,2030,false,49.0,,0.0
192,BG_Nuclear,2030,true,2095.0,,-0.0
193,BG_OCGT,2030,true,357.0,,7.0
194,BG_Battery,2030,false,100.0,,0.0
195,DE_Wind_Onshore,2030,false,49.0,,1931.1633964897387
196,UK_Wind_Onshore,2030,false,49.0,,1654.9663225601025
197,DK_Wind_Onshore,2030,false,49.0,,271.8613693962943
198,NO_Coal,2030,true,824.0,,-0.0
199,SE_Solar,2030,false,18.0,,0.0
200,SE_Wind_Offshore,2030,false,49.0,,0.0
201,IT_Wind_Onshore,2030,false,49.0,,535.9197591306755
202,HR_Nuclear,2030,true,2095.0,,-0.0
203,GR_Wind_Offshore,2030,false,49.0,,0.0
204,GR_Nuclear,2030,true,2095.0,,-0.0
205,LV_Coal,2030,true,824.0,,1.0
206,EE_Wind_Offshore,2030,false,49.0,,0.0
207,MT_Coal,2030,true,824.0,,0.0
208,CY_Wind_Offshore,2030,false,49.0,,0.0
209,BG_CCGT,2030,true,357.0,,-0.0
210,PL_CCGT,2030,true,357.0,,1.0
211,GR_OCGT,2030,true,357.0,,0.0
212,BG_Coal,2030,true,824.0,,1.0
213,BE_Wind_Offshore,2030,false,49.0,,0.0
214,FR_Solar,2030,false,18.0,,1525.1930183707016
215,FR_CCGT,2030,true,357.0,,11.0
216,CH_Battery,2030,false,100.0,,2.2771835470044106
217,UK_Wind_Offshore,2030,false,49.0,,0.0
218,DK_Wind_Offshore,2030,false,49.0,,0.0
219,DK_CCGT,2030,true,357.0,,-0.0
220,IE_Solar,2030,false,18.0,,0.0
221,IE_Wind_Onshore,2030,false,49.0,,194.19420254836334
222,IE_Battery,2030,false,100.0,,0.0
223,CZ_Wind_Onshore,2030,false,49.0,,287.30788466379516
224,CZ_Coal,2030,true,824.0,,1.0
225,IT_Coal,2030,true,824.0,,31.0
226,LT_Solar,2030,false,18.0,,77.95956409639257
227,FI_Wind_Offshore,2030,false,49.0,,0.0
228,FI_CCGT,2030,true,357.0,,5.0
229,SI_Nuclear,2030,true,2095.0,,-0.0
230,SK_Solar,2030,false,18.0,,0.0
231,SK_Coal,2030,true,824.0,,0.0
232,HR_Wind_Offshore,2030,false,49.0,,0.0
233,GR_CCGT,2030,true,357.0,,-0.0
234,EE_Nuclear,2030,true,2095.0,,-0.0
235,MT_Nuclear,2030,true,2095.0,,-0.0
236,SI_CCGT,2030,true,357.0,,-0.0
237,CY_OCGT,2030,true,357.0,,3.0
238,CH_CCGT,2030,true,357.0,,0.0
239,SI_Battery,2030,false,100.0,,0.44010797499281523
240,CY_Battery,2030,false,100.0,,0.26740393752283587
