id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,4,912.0
2,AT_Battery,2050,1,5,8,0.0
3,AT_Battery,2050,1,9,12,0.0
4,AT_Battery,2050,1,13,16,912.0
5,AT_Battery,2050,1,17,20,912.0
6,AT_Battery,2050,1,21,24,912.0
7,AT_Battery,2050,2,1,4,0.0
8,AT_Battery,2050,2,5,8,0.0
9,AT_Battery,2050,2,9,12,0.0
10,AT_Battery,2050,2,13,16,912.0
11,AT_Battery,2050,2,17,20,0.0
12,AT_Battery,2050,2,21,24,0.0
13,AT_Battery,2050,3,1,4,0.0
14,AT_Battery,2050,3,5,8,0.0
15,AT_Battery,2050,3,9,12,0.0
16,AT_Battery,2050,3,13,16,912.0
17,AT_Battery,2050,3,17,20,0.0
18,AT_Battery,2050,3,21,24,0.0
19,AT_Battery,2050,4,1,4,0.0
20,AT_Battery,2050,4,5,8,0.0
21,AT_Battery,2050,4,9,12,0.0
22,AT_Battery,2050,4,13,16,0.0
23,AT_Battery,2050,4,17,20,0.0
24,AT_Battery,2050,4,21,24,0.0
25,AT_Battery,2050,5,1,4,0.0
26,AT_Battery,2050,5,5,8,0.0
27,AT_Battery,2050,5,9,12,0.0
28,AT_Battery,2050,5,13,16,0.0
29,AT_Battery,2050,5,17,20,0.0
30,AT_Battery,2050,5,21,24,0.0
31,AT_Battery,2050,6,1,4,0.0
32,AT_Battery,2050,6,5,8,0.0
33,AT_Battery,2050,6,9,12,0.0
34,AT_Battery,2050,6,13,16,912.0
35,AT_Battery,2050,6,17,20,912.0
36,AT_Battery,2050,6,21,24,0.0
37,AT_Battery,2050,7,1,4,0.0
38,AT_Battery,2050,7,5,8,0.0
39,AT_Battery,2050,7,9,12,0.0
40,AT_Battery,2050,7,13,16,912.0
41,AT_Battery,2050,7,17,20,912.0
42,AT_Battery,2050,7,21,24,0.0
43,AT_Battery,2050,8,1,4,0.0
44,AT_Battery,2050,8,5,8,0.0
45,AT_Battery,2050,8,9,12,0.0
46,AT_Battery,2050,8,13,16,0.0
47,AT_Battery,2050,8,17,20,0.0
48,AT_Battery,2050,8,21,24,0.0
49,AT_Battery,2050,9,1,4,0.0
50,AT_Battery,2050,9,5,8,0.0
51,AT_Battery,2050,9,9,12,0.0
52,AT_Battery,2050,9,13,16,912.0
53,AT_Battery,2050,9,17,20,0.0
54,AT_Battery,2050,9,21,24,0.0
55,AT_Battery,2050,10,1,4,912.0
56,AT_Battery,2050,10,5,8,912.0
57,AT_Battery,2050,10,9,12,912.0
58,AT_Battery,2050,10,13,16,912.0
59,AT_Battery,2050,10,17,20,912.0
60,AT_Battery,2050,10,21,24,912.0
61,BE_Battery,2050,1,1,2,0.0
62,BE_Battery,2050,1,3,4,3390.0
63,BE_Battery,2050,1,5,6,3390.0
64,BE_Battery,2050,1,7,8,3390.0
65,BE_Battery,2050,1,9,10,0.0
66,BE_Battery,2050,1,11,12,0.0
67,BE_Battery,2050,1,13,14,0.0
68,BE_Battery,2050,1,15,16,3390.0
69,BE_Battery,2050,1,17,18,3390.0
70,BE_Battery,2050,1,19,20,0.0
71,BE_Battery,2050,1,21,22,0.0
72,BE_Battery,2050,1,23,24,0.0
73,BE_Battery,2050,2,1,2,0.0
74,BE_Battery,2050,2,3,4,0.0
75,BE_Battery,2050,2,5,6,0.0
76,BE_Battery,2050,2,7,8,0.0
77,BE_Battery,2050,2,9,10,0.0
78,BE_Battery,2050,2,11,12,0.0
79,BE_Battery,2050,2,13,14,0.0
80,BE_Battery,2050,2,15,16,0.0
81,BE_Battery,2050,2,17,18,0.0
82,BE_Battery,2050,2,19,20,0.0
83,BE_Battery,2050,2,21,22,0.0
84,BE_Battery,2050,2,23,24,0.0
85,BE_Battery,2050,3,1,2,0.0
86,BE_Battery,2050,3,3,4,0.0
87,BE_Battery,2050,3,5,6,0.0
88,BE_Battery,2050,3,7,8,0.0
89,BE_Battery,2050,3,9,10,0.0
90,BE_Battery,2050,3,11,12,0.0
91,BE_Battery,2050,3,13,14,0.0
92,BE_Battery,2050,3,15,16,0.0
93,BE_Battery,2050,3,17,18,0.0
94,BE_Battery,2050,3,19,20,0.0
95,BE_Battery,2050,3,21,22,0.0
96,BE_Battery,2050,3,23,24,0.0
97,BE_Battery,2050,4,1,2,0.0
98,BE_Battery,2050,4,3,4,0.0
99,BE_Battery,2050,4,5,6,0.0
100,BE_Battery,2050,4,7,8,3390.0
101,BE_Battery,2050,4,9,10,0.0
102,BE_Battery,2050,4,11,12,0.0
103,BE_Battery,2050,4,13,14,0.0
104,BE_Battery,2050,4,15,16,0.0
