id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,3,74.28704533095151
2,AT_Battery,2030,1,4,6,74.28704533095151
3,AT_Battery,2030,1,7,9,74.28704533095151
4,AT_Battery,2030,1,10,12,0.0
5,AT_Battery,2030,1,13,15,0.0
6,AT_Battery,2030,1,16,18,74.28704533095151
7,AT_Battery,2030,1,19,21,0.0
8,AT_Battery,2030,1,22,24,0.0
9,AT_Battery,2030,2,1,3,0.0
10,AT_Battery,2030,2,4,6,0.0
11,AT_Battery,2030,2,7,9,74.28704533095151
12,AT_Battery,2030,2,10,12,0.0
13,AT_Battery,2030,2,13,15,0.0
14,AT_Battery,2030,2,16,18,0.0
15,AT_Battery,2030,2,19,21,0.0
16,AT_Battery,2030,2,22,24,0.0
17,AT_Battery,2030,3,1,3,0.0
18,AT_Battery,2030,3,4,6,74.28704533095151
19,AT_Battery,2030,3,7,9,0.0
20,AT_Battery,2030,3,10,12,0.0
21,AT_Battery,2030,3,13,15,74.28704533095151
22,AT_Battery,2030,3,16,18,74.28704533095151
23,AT_Battery,2030,3,19,21,0.0
24,AT_Battery,2030,3,22,24,0.0
25,AT_Battery,2030,4,1,3,0.0
26,AT_Battery,2030,4,4,6,74.28704533095151
27,AT_Battery,2030,4,7,9,37.14352266547576
28,AT_Battery,2030,4,10,12,0.0
29,AT_Battery,2030,4,13,15,37.14352266547576
30,AT_Battery,2030,4,16,18,74.28704533095151
31,AT_Battery,2030,4,19,21,0.0
32,AT_Battery,2030,4,22,24,0.0
33,AT_Battery,2030,5,1,3,0.0
34,AT_Battery,2030,5,4,6,0.0
35,AT_Battery,2030,5,7,9,0.0
36,AT_Battery,2030,5,10,12,0.0
37,AT_Battery,2030,5,13,15,0.0
38,AT_Battery,2030,5,16,18,0.0
39,AT_Battery,2030,5,19,21,0.0
40,AT_Battery,2030,5,22,24,0.0
41,AT_Battery,2030,6,1,3,0.0
42,AT_Battery,2030,6,4,6,0.0
43,AT_Battery,2030,6,7,9,74.28704533095151
44,AT_Battery,2030,6,10,12,74.28704533095151
45,AT_Battery,2030,6,13,15,74.28704533095151
46,AT_Battery,2030,6,16,18,74.28704533095151
47,AT_Battery,2030,6,19,21,0.0
48,AT_Battery,2030,6,22,24,0.0
49,AT_Battery,2030,7,1,3,0.0
50,AT_Battery,2030,7,4,6,0.0
51,AT_Battery,2030,7,7,9,0.0
52,AT_Battery,2030,7,10,12,0.0
53,AT_Battery,2030,7,13,15,37.14352266547576
54,AT_Battery,2030,7,16,18,74.28704533095151
55,AT_Battery,2030,7,19,21,0.0
56,AT_Battery,2030,7,22,24,0.0
57,AT_Battery,2030,8,1,3,0.0
58,AT_Battery,2030,8,4,6,74.28704533095151
59,AT_Battery,2030,8,7,9,0.0
60,AT_Battery,2030,8,10,12,15.048429217974444
61,AT_Battery,2030,8,13,15,74.28704533095151
62,AT_Battery,2030,8,16,18,74.28704533095151
63,AT_Battery,2030,8,19,21,0.0
64,AT_Battery,2030,8,22,24,0.0
65,AT_Battery,2030,9,1,3,0.0
66,AT_Battery,2030,9,4,6,74.28704533095151
67,AT_Battery,2030,9,7,9,0.0
68,AT_Battery,2030,9,10,12,0.0
69,AT_Battery,2030,9,13,15,0.0
70,AT_Battery,2030,9,16,18,74.28704533095151
71,AT_Battery,2030,9,19,21,0.0
72,AT_Battery,2030,9,22,24,0.0
73,AT_Battery,2030,10,1,3,0.0
74,AT_Battery,2030,10,4,6,0.0
75,AT_Battery,2030,10,7,9,74.28704533095151
76,AT_Battery,2030,10,10,12,74.28704533095151
77,AT_Battery,2030,10,13,15,0.0
78,AT_Battery,2030,10,16,18,74.28704533095151
79,AT_Battery,2030,10,19,21,0.0
80,AT_Battery,2030,10,22,24,0.0
81,BE_Battery,2030,1,1,2,0.0
82,BE_Battery,2030,1,3,4,0.0
83,BE_Battery,2030,1,5,6,0.0
84,BE_Battery,2030,1,7,8,0.0
85,BE_Battery,2030,1,9,10,0.0
86,BE_Battery,2030,1,11,12,0.0
87,BE_Battery,2030,1,13,14,0.0
88,BE_Battery,2030,1,15,16,0.0
89,BE_Battery,2030,1,17,18,0.0
90,BE_Battery,2030,1,19,20,0.0
91,BE_Battery,2030,1,21,22,0.0
92,BE_Battery,2030,1,23,24,0.0
93,BE_Battery,2030,2,1,2,0.0
94,BE_Battery,2030,2,3,4,0.0
95,BE_Battery,2030,2,5,6,0.0
96,BE_Battery,2030,2,7,8,0.0
97,BE_Battery,2030,2,9,10,0.0
98,BE_Battery,2030,2,11,12,0.0
99,BE_Battery,2030,2,13,14,0.0
100,BE_Battery,2030,2,15,16,0.0
101,BE_Battery,2030,2,17,18,0.0
102,BE_Battery,2030,2,19,20,0.0
103,BE_Battery,2030,2,21,22,0.0
104,BE_Battery,2030,2,23,24,0.0
105,BE_Battery,2030,3,1,2,0.0
106,BE_Battery,2030,3,3,4,0.0
107,BE_Battery,2030,3,5,6,0.0
108,BE_Battery,2030,3,7,8,0.0
109,BE_Battery,2030,3,9,10,0.0
110,BE_Battery,2030,3,11,12,0.0
111,BE_Battery,2030,3,13,14,0.0
112,BE_Battery,2030,3,15,16,0.0
113,BE_Battery,2030,3,17,18,0.0
114,BE_Battery,2030,3,19,20,0.0
115,BE_Battery,2030,3,21,22,0.0
116,BE_Battery,2030,3,23,24,0.0
117,BE_Battery,2030,4,1,2,0.0
118,BE_Battery,2030,4,3,4,0.0
119,BE_Battery,2030,4,5,6,0.0
120,BE_Battery,2030,4,7,8,0.0
121,BE_Battery,2030,4,9,10,0.0
122,BE_Battery,2030,4,11,12,0.0
123,BE_Battery,2030,4,13,14,0.0
124,BE_Battery,2030,4,15,16,0.0
125,BE_Battery,2030,4,17,18,0.0
126,BE_Battery,2030,4,19,20,0.0
127,BE_Battery,2030,4,21,22,0.0
128,BE_Battery,2030,4,23,24,0.0
129,BE_Battery,2030,5,1,2,0.0
130,BE_Battery,2030,5,3,4,0.0
131,BE_Battery,2030,5,5,6,0.0
132,BE_Battery,2030,5,7,8,0.0
133,BE_Battery,2030,5,9,10,0.0
134,BE_Battery,2030,5,11,12,0.0
135,BE_Battery,2030,5,13,14,0.0
136,BE_Battery,2030,5,15,16,0.0
137,BE_Battery,2030,5,17,18,0.0
138,BE_Battery,2030,5,19,20,0.0
139,BE_Battery,2030,5,21,22,0.0
140,BE_Battery,2030,5,23,24,0.0
141,BE_Battery,2030,6,1,2,0.0
142,BE_Battery,2030,6,3,4,0.0
143,BE_Battery,2030,6,5,6,0.0
144,BE_Battery,2030,6,7,8,0.0
145,BE_Battery,2030,6,9,10,0.0
146,BE_Battery,2030,6,11,12,0.0
147,BE_Battery,2030,6,13,14,0.0
148,BE_Battery,2030,6,15,16,0.0
149,BE_Battery,2030,6,17,18,0.0
150,BE_Battery,2030,6,19,20,0.0
151,BE_Battery,2030,6,21,22,0.0
152,BE_Battery,2030,6,23,24,0.0
153,BE_Battery,2030,7,1,2,0.0
154,BE_Battery,2030,7,3,4,0.0
155,BE_Battery,2030,7,5,6,0.0
156,BE_Battery,2030,7,7,8,0.0
157,BE_Battery,2030,7,9,10,0.0
158,BE_Battery,2030,7,11,12,0.0
159,BE_Battery,2030,7,13,14,0.0
160,BE_Battery,2030,7,15,16,0.0
161,BE_Battery,2030,7,17,18,0.0
162,BE_Battery,2030,7,19,20,0.0
