id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,1,5,11241.103017254942
2,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,6,10,12738.305141375753
3,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,11,15,13595.901103874206
4,NL_Balance,NL_E_Demand,2050,1,1.0,1.0,16,20,12662.411626035639
5,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,1,5,8127.480393592926
6,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,6,10,6352.5834287595835
7,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,11,15,4629.955573776056
8,NL_Wind_Onshore,NL_Balance,2050,1,1.0,1.0,16,20,7983.194939588145
9,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,1,5,0.0
10,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,6,10,0.0
11,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,11,15,0.0
12,NL_Wind_Offshore,NL_Balance,2050,1,1.0,1.0,16,20,0.0
13,NL_CCGT,NL_Balance,2050,1,1.0,1.0,1,5,0.0
14,NL_CCGT,NL_Balance,2050,1,1.0,1.0,6,10,1100.1286154701465
15,NL_CCGT,NL_Balance,2050,1,1.0,1.0,11,15,586.8982168854418
16,NL_CCGT,NL_Balance,2050,1,1.0,1.0,16,20,0.0
17,NL_OCGT,NL_Balance,2050,1,1.0,1.0,1,5,0.0
18,NL_OCGT,NL_Balance,2050,1,1.0,1.0,6,10,0.0
19,NL_OCGT,NL_Balance,2050,1,1.0,1.0,11,15,0.0
20,NL_OCGT,NL_Balance,2050,1,1.0,1.0,16,20,0.0
21,NL_Balance,NL_Battery,2050,1,1.0,1.0,1,5,0.0
22,NL_Balance,NL_Battery,2050,1,1.0,1.0,6,10,0.0
23,NL_Balance,NL_Battery,2050,1,1.0,1.0,11,15,0.0
24,NL_Balance,NL_Battery,2050,1,1.0,1.0,16,20,0.0
25,BE_Solar,BE_Balance,2050,1,1.0,1.0,1,5,0.0
26,BE_Solar,BE_Balance,2050,1,1.0,1.0,6,10,912.0520249792296
27,BE_Solar,BE_Balance,2050,1,1.0,1.0,11,15,3646.161772604966
28,BE_Solar,BE_Balance,2050,1,1.0,1.0,16,20,979.5976710605282
29,BE_Coal,BE_Balance,2050,1,1.0,1.0,1,5,1715.318712844005
30,BE_Coal,BE_Balance,2050,1,1.0,1.0,6,10,2472.0
31,BE_Coal,BE_Balance,2050,1,1.0,1.0,11,15,2468.80236435497
32,BE_Coal,BE_Balance,2050,1,1.0,1.0,16,20,2472.0
33,BE_Nuclear,BE_Balance,2050,1,1.0,1.0,1,5,0.0
34,BE_Nuclear,BE_Balance,2050,1,1.0,1.0,6,10,0.0
35,BE_Nuclear,BE_Balance,2050,1,1.0,1.0,11,15,0.0
36,BE_Nuclear,BE_Balance,2050,1,1.0,1.0,16,20,0.0
37,BE_CCGT,BE_Balance,2050,1,1.0,1.0,1,5,0.0
38,BE_CCGT,BE_Balance,2050,1,1.0,1.0,6,10,747.4822806360719
39,BE_CCGT,BE_Balance,2050,1,1.0,1.0,11,15,0.0
40,BE_CCGT,BE_Balance,2050,1,1.0,1.0,16,20,394.5079919722439
41,BE_OCGT,BE_Balance,2050,1,1.0,1.0,1,5,0.0
42,BE_OCGT,BE_Balance,2050,1,1.0,1.0,6,10,0.0
43,BE_OCGT,BE_Balance,2050,1,1.0,1.0,11,15,0.0
44,BE_OCGT,BE_Balance,2050,1,1.0,1.0,16,20,0.0
45,BE_Battery,BE_Balance,2050,1,1.0,1.0,1,5,0.0
46,BE_Battery,BE_Balance,2050,1,1.0,1.0,6,10,0.0
47,BE_Battery,BE_Balance,2050,1,1.0,1.0,11,15,0.0
48,BE_Battery,BE_Balance,2050,1,1.0,1.0,16,20,0.0
49,BE_Balance,BE_Battery,2050,1,1.0,1.0,1,5,0.0
50,BE_Balance,BE_Battery,2050,1,1.0,1.0,6,10,0.0
51,BE_Balance,BE_Battery,2050,1,1.0,1.0,11,15,0.0
52,BE_Balance,BE_Battery,2050,1,1.0,1.0,16,20,0.0
53,DE_Balance,DE_E_Demand,2050,1,1.0,1.0,1,5,41548.490153509
54,DE_Balance,DE_E_Demand,2050,1,1.0,1.0,6,10,52643.98506286455
55,DE_Balance,DE_E_Demand,2050,1,1.0,1.0,11,15,55990.71748446234
56,DE_Balance,DE_E_Demand,2050,1,1.0,1.0,16,20,47660.848410177125
57,DE_Solar,DE_Balance,2050,1,1.0,1.0,1,5,0.0
58,DE_Solar,DE_Balance,2050,1,1.0,1.0,6,10,6226.043160598912
59,DE_Solar,DE_Balance,2050,1,1.0,1.0,11,15,19280.736211644136
60,DE_Solar,DE_Balance,2050,1,1.0,1.0,16,20,4441.042213797357
61,DE_Wind_Onshore,DE_Balance,2050,1,1.0,1.0,1,5,26482.313023748397
62,DE_Wind_Onshore,DE_Balance,2050,1,1.0,1.0,6,10,19964.980021404594
63,DE_Wind_Onshore,DE_Balance,2050,1,1.0,1.0,11,15,15787.310848327195
64,DE_Wind_Onshore,DE_Balance,2050,1,1.0,1.0,16,20,27385.274159030658
65,DE_Wind_Offshore,DE_Balance,2050,1,1.0,1.0,1,5,0.0
66,DE_Wind_Offshore,DE_Balance,2050,1,1.0,1.0,6,10,0.0
67,DE_Wind_Offshore,DE_Balance,2050,1,1.0,1.0,11,15,0.0
68,DE_Wind_Offshore,DE_Balance,2050,1,1.0,1.0,16,20,0.0
69,DE_Nuclear,DE_Balance,2050,1,1.0,1.0,1,5,0.0
