id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
205,AT_Nuclear,2030,10,7,9,3,0.0
206,AT_Nuclear,2030,10,10,12,4,0.0
207,AT_Nuclear,2030,10,13,15,5,0.0
208,AT_Nuclear,2030,10,16,18,6,0.0
209,AT_Nuclear,2030,10,19,21,7,0.0
210,AT_Nuclear,2030,10,22,24,8,0.0
211,AT_OCGT,2030,1,4,6,2,0.0
212,AT_OCGT,2030,1,7,9,3,0.0
213,AT_OCGT,2030,1,10,12,4,0.0
214,AT_OCGT,2030,1,13,15,5,0.0
215,AT_OCGT,2030,1,16,18,6,0.0
216,AT_OCGT,2030,1,19,21,7,0.0
217,AT_OCGT,2030,1,22,24,8,0.0
218,AT_OCGT,2030,2,4,6,2,0.0
219,AT_OCGT,2030,2,7,9,3,0.0
220,AT_OCGT,2030,2,10,12,4,0.0
221,AT_OCGT,2030,2,13,15,5,0.0
222,AT_OCGT,2030,2,16,18,6,0.0
223,AT_OCGT,2030,2,19,21,7,0.0
224,AT_OCGT,2030,2,22,24,8,0.0
225,AT_OCGT,2030,3,4,6,2,0.0
226,AT_OCGT,2030,3,7,9,3,0.0
227,AT_OCGT,2030,3,10,12,4,0.0
228,AT_OCGT,2030,3,13,15,5,0.0
229,AT_OCGT,2030,3,16,18,6,0.0
230,AT_OCGT,2030,3,19,21,7,0.0
231,AT_OCGT,2030,3,22,24,8,0.0
232,AT_OCGT,2030,4,4,6,2,0.0
233,AT_OCGT,2030,4,7,9,3,0.0
234,AT_OCGT,2030,4,10,12,4,0.0
235,AT_OCGT,2030,4,13,15,5,0.0
236,AT_OCGT,2030,4,16,18,6,0.0
237,AT_OCGT,2030,4,19,21,7,0.0
238,AT_OCGT,2030,4,22,24,8,0.0
239,AT_OCGT,2030,5,4,6,2,0.0
240,AT_OCGT,2030,5,7,9,3,0.0
241,AT_OCGT,2030,5,10,12,4,0.0
242,AT_OCGT,2030,5,13,15,5,0.0
243,AT_OCGT,2030,5,16,18,6,0.0
244,AT_OCGT,2030,5,19,21,7,0.0
245,AT_OCGT,2030,5,22,24,8,0.0
246,AT_OCGT,2030,6,4,6,2,0.0
247,AT_OCGT,2030,6,7,9,3,0.0
248,AT_OCGT,2030,6,10,12,4,0.0
249,AT_OCGT,2030,6,13,15,5,0.0
250,AT_OCGT,2030,6,16,18,6,0.0
251,AT_OCGT,2030,6,19,21,7,0.0
252,AT_OCGT,2030,6,22,24,8,0.0
253,AT_OCGT,2030,7,4,6,2,0.0
254,AT_OCGT,2030,7,7,9,3,0.0
255,AT_OCGT,2030,7,10,12,4,0.0
256,AT_OCGT,2030,7,13,15,5,0.0
257,AT_OCGT,2030,7,16,18,6,0.0
258,AT_OCGT,2030,7,19,21,7,0.0
259,AT_OCGT,2030,7,22,24,8,0.0
260,AT_OCGT,2030,8,4,6,2,0.0
261,AT_OCGT,2030,8,7,9,3,0.0
262,AT_OCGT,2030,8,10,12,4,0.0
263,AT_OCGT,2030,8,13,15,5,0.0
264,AT_OCGT,2030,8,16,18,6,0.0
265,AT_OCGT,2030,8,19,21,7,0.0
266,AT_OCGT,2030,8,22,24,8,0.0
267,AT_OCGT,2030,9,4,6,2,0.0
268,AT_OCGT,2030,9,7,9,3,0.0
269,AT_OCGT,2030,9,10,12,4,0.0
270,AT_OCGT,2030,9,13,15,5,0.0
271,AT_OCGT,2030,9,16,18,6,0.0
272,AT_OCGT,2030,9,19,21,7,0.0
273,AT_OCGT,2030,9,22,24,8,0.0
274,AT_OCGT,2030,10,4,6,2,0.0
275,AT_OCGT,2030,10,7,9,3,0.0
276,AT_OCGT,2030,10,10,12,4,0.0
277,AT_OCGT,2030,10,13,15,5,0.0
278,AT_OCGT,2030,10,16,18,6,0.0
279,AT_OCGT,2030,10,19,21,7,0.0
280,AT_OCGT,2030,10,22,24,8,0.0
281,BE_CCGT,2030,1,4,6,2,0.0
282,BE_CCGT,2030,1,7,9,3,0.0
283,BE_CCGT,2030,1,10,12,4,0.0
284,BE_CCGT,2030,1,13,15,5,0.0
285,BE_CCGT,2030,1,16,18,6,0.0
286,BE_CCGT,2030,1,19,21,7,0.0
287,BE_CCGT,2030,1,22,24,8,0.0
288,BE_CCGT,2030,2,4,6,2,0.0
289,BE_CCGT,2030,2,7,9,3,0.0
290,BE_CCGT,2030,2,10,12,4,0.0
291,BE_CCGT,2030,2,13,15,5,0.0
292,BE_CCGT,2030,2,16,18,6,0.0
293,BE_CCGT,2030,2,19,21,7,0.0
294,BE_CCGT,2030,2,22,24,8,0.0
295,BE_CCGT,2030,3,4,6,2,0.0
296,BE_CCGT,2030,3,7,9,3,0.0
297,BE_CCGT,2030,3,10,12,4,0.0
298,BE_CCGT,2030,3,13,15,5,0.0
299,BE_CCGT,2030,3,16,18,6,0.0
300,BE_CCGT,2030,3,19,21,7,0.0
301,BE_CCGT,2030,3,22,24,8,0.0
302,BE_CCGT,2030,4,4,6,2,0.0
303,BE_CCGT,2030,4,7,9,3,0.0
304,BE_CCGT,2030,4,10,12,4,0.0
