id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,1,1.7225000000000004
2,AT_E_Balance,2050,1,2,2,1.7225000000000004
3,AT_E_Balance,2050,1,3,3,1.7225000000000004
4,AT_E_Balance,2050,1,4,4,1.7225000000000004
5,AT_E_Balance,2050,1,5,5,1.7225000000000004
6,AT_E_Balance,2050,1,6,6,1.7225000000000004
7,AT_E_Balance,2050,1,7,7,1.7225000000000004
8,AT_E_Balance,2050,1,8,8,0.6094999999999992
9,AT_E_Balance,2050,1,9,9,0.46664843750000035
10,AT_E_Balance,2050,1,10,10,-0.0
11,AT_E_Balance,2050,1,11,11,-0.0
12,AT_E_Balance,2050,1,12,12,-0.0
13,AT_E_Balance,2050,1,13,13,-0.0
14,AT_E_Balance,2050,1,14,14,-0.0
15,AT_E_Balance,2050,1,15,15,-0.0
16,AT_E_Balance,2050,1,16,16,-0.0
17,AT_E_Balance,2050,1,17,17,-0.0
18,AT_E_Balance,2050,1,18,18,0.6095
19,AT_E_Balance,2050,1,19,19,1.7225000000000004
20,AT_E_Balance,2050,1,20,20,1.7225000000000004
21,AT_E_Balance,2050,1,21,21,1.7225000000000004
22,AT_E_Balance,2050,1,22,22,1.7225000000000004
23,AT_E_Balance,2050,1,23,23,1.7225000000000004
24,AT_E_Balance,2050,1,24,24,1.7225000000000004
25,AT_E_Balance,2050,2,1,1,0.9377476190476184
26,AT_E_Balance,2050,2,2,2,0.9377476190476184
27,AT_E_Balance,2050,2,3,3,0.9377476190476184
28,AT_E_Balance,2050,2,4,4,0.9377476190476184
29,AT_E_Balance,2050,2,5,5,0.9377476190476184
30,AT_E_Balance,2050,2,6,6,0.9377476190476184
31,AT_E_Balance,2050,2,7,7,0.9377476190476184
32,AT_E_Balance,2050,2,8,8,0.9377476190476184
33,AT_E_Balance,2050,2,9,9,0.3795
34,AT_E_Balance,2050,2,10,10,-0.0
35,AT_E_Balance,2050,2,11,11,-0.0
36,AT_E_Balance,2050,2,12,12,-0.0
37,AT_E_Balance,2050,2,13,13,-0.0
38,AT_E_Balance,2050,2,14,14,-0.0
39,AT_E_Balance,2050,2,15,15,-0.0
40,AT_E_Balance,2050,2,16,16,-0.0
41,AT_E_Balance,2050,2,17,17,-0.0
42,AT_E_Balance,2050,2,18,18,0.9377476190476182
43,AT_E_Balance,2050,2,19,19,0.9377476190476184
44,AT_E_Balance,2050,2,20,20,0.9377476190476184
45,AT_E_Balance,2050,2,21,21,0.9377476190476184
46,AT_E_Balance,2050,2,22,22,0.9377476190476184
47,AT_E_Balance,2050,2,23,23,0.9377476190476184
48,AT_E_Balance,2050,2,24,24,0.9377476190476184
49,AT_E_Balance,2050,3,1,1,0.9425
50,AT_E_Balance,2050,3,2,2,0.9425000000000002
51,AT_E_Balance,2050,3,3,3,0.9425000000000002
52,AT_E_Balance,2050,3,4,4,0.9425
53,AT_E_Balance,2050,3,5,5,0.9425
54,AT_E_Balance,2050,3,6,6,0.9425000000000002
55,AT_E_Balance,2050,3,7,7,0.9425
56,AT_E_Balance,2050,3,8,8,0.9425000000000002
57,AT_E_Balance,2050,3,9,9,0.9425
58,AT_E_Balance,2050,3,10,10,0.9425
59,AT_E_Balance,2050,3,11,11,0.3335
60,AT_E_Balance,2050,3,12,12,-0.0
61,AT_E_Balance,2050,3,13,13,-0.0
62,AT_E_Balance,2050,3,14,14,-0.0
63,AT_E_Balance,2050,3,15,15,0.7216015625000005
64,AT_E_Balance,2050,3,16,16,0.9425000000000002
65,AT_E_Balance,2050,3,17,17,0.9425
66,AT_E_Balance,2050,3,18,18,0.9425000000000007
67,AT_E_Balance,2050,3,19,19,0.9425000000000002
68,AT_E_Balance,2050,3,20,20,0.9425000000000002
