id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,AT_Battery,2050,1,1,4,0.0
2,AT_Battery,2050,1,5,8,-6.996
3,AT_Battery,2050,1,9,12,0.0
4,AT_Battery,2050,1,13,16,0.0
5,AT_Battery,2050,1,17,20,0.0
6,AT_Battery,2050,1,21,24,0.0
7,AT_Battery,2050,2,1,4,0.0
8,AT_Battery,2050,2,5,8,0.0
9,AT_Battery,2050,2,9,12,0.0
10,AT_Battery,2050,2,13,16,0.0
11,AT_Battery,2050,2,17,20,0.0
12,AT_Battery,2050,2,21,24,0.0
13,AT_Battery,2050,3,1,4,0.0
14,AT_Battery,2050,3,5,8,0.0
15,AT_Battery,2050,3,9,12,0.0
16,AT_Battery,2050,3,13,16,0.0
17,AT_Battery,2050,3,17,20,0.0
18,AT_Battery,2050,3,21,24,0.0
19,AT_Battery,2050,4,1,4,0.0
20,AT_Battery,2050,4,5,8,0.0
21,AT_Battery,2050,4,9,12,0.0
22,AT_Battery,2050,4,13,16,0.0
23,AT_Battery,2050,4,17,20,0.0
24,AT_Battery,2050,4,21,24,0.0
25,AT_Battery,2050,5,1,4,0.0
26,AT_Battery,2050,5,5,8,0.0
27,AT_Battery,2050,5,9,12,0.0
28,AT_Battery,2050,5,13,16,0.0
29,AT_Battery,2050,5,17,20,0.0
30,AT_Battery,2050,5,21,24,0.0
31,AT_Battery,2050,6,1,4,0.0
32,AT_Battery,2050,6,5,8,0.0
33,AT_Battery,2050,6,9,12,0.0
34,AT_Battery,2050,6,13,16,0.0
35,AT_Battery,2050,6,17,20,0.0
36,AT_Battery,2050,6,21,24,0.0
37,AT_Battery,2050,7,1,4,0.0
38,AT_Battery,2050,7,5,8,0.0
39,AT_Battery,2050,7,9,12,0.0
40,AT_Battery,2050,7,13,16,0.0
41,AT_Battery,2050,7,17,20,0.0
42,AT_Battery,2050,7,21,24,0.0
43,AT_Battery,2050,8,1,4,0.0
44,AT_Battery,2050,8,5,8,0.0
45,AT_Battery,2050,8,9,12,0.0
46,AT_Battery,2050,8,13,16,0.0
47,AT_Battery,2050,8,17,20,0.0
48,AT_Battery,2050,8,21,24,0.0
49,AT_Battery,2050,9,1,4,0.0
50,AT_Battery,2050,9,5,8,0.0
51,AT_Battery,2050,9,9,12,0.0
52,AT_Battery,2050,9,13,16,0.0
53,AT_Battery,2050,9,17,20,0.0
54,AT_Battery,2050,9,21,24,0.0
55,AT_Battery,2050,10,1,4,0.0
56,AT_Battery,2050,10,5,8,-6.072
57,AT_Battery,2050,10,9,12,0.0
58,AT_Battery,2050,10,13,16,0.0
59,AT_Battery,2050,10,17,20,0.0
60,AT_Battery,2050,10,21,24,0.0
61,AT_CCGT,2050,1,1,4,0.0
62,AT_CCGT,2050,1,5,8,0.0
