id,from_asset,to_asset,year,rep_period,efficiency,flow_coefficient_in_capacity_constraint,time_block_start,time_block_end,solution
1,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,1,3,11105.640170391516
2,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,4,6,11554.397570422721
3,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,7,9,12864.749326470412
4,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,10,12,13387.660460911105
5,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,13,15,13713.067909312414
6,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,16,18,13795.77342198727
7,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,19,21,12941.121528798114
8,NL_Balance,NL_E_Demand,2030,1,1.0,1.0,22,24,11250.33992732153
9,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,1,3,9649.054673456001
10,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,4,6,8936.049553456322
11,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,7,9,7552.973348871292
12,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,10,12,5064.393933060077
13,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,13,15,5657.193347171368
14,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,16,18,7200.858931402622
15,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,19,21,9033.234972100874
16,NL_Wind_Onshore,NL_Balance,2030,1,1.0,1.0,22,24,11482.476704662438
17,NL_OCGT,NL_Balance,2030,1,1.0,1.0,1,3,0.0
18,NL_OCGT,NL_Balance,2030,1,1.0,1.0,4,6,0.0
19,NL_OCGT,NL_Balance,2030,1,1.0,1.0,7,9,0.0
20,NL_OCGT,NL_Balance,2030,1,1.0,1.0,10,12,0.0
21,NL_OCGT,NL_Balance,2030,1,1.0,1.0,13,15,0.0
22,NL_OCGT,NL_Balance,2030,1,1.0,1.0,16,18,0.0
23,NL_OCGT,NL_Balance,2030,1,1.0,1.0,19,21,0.0
24,NL_OCGT,NL_Balance,2030,1,1.0,1.0,22,24,0.0
25,NL_Battery,NL_Balance,2030,1,1.0,1.0,1,3,0.0
26,NL_Battery,NL_Balance,2030,1,1.0,1.0,4,6,0.0
27,NL_Battery,NL_Balance,2030,1,1.0,1.0,7,9,0.0
28,NL_Battery,NL_Balance,2030,1,1.0,1.0,10,12,0.0
29,NL_Battery,NL_Balance,2030,1,1.0,1.0,13,15,0.0
30,NL_Battery,NL_Balance,2030,1,1.0,1.0,16,18,0.0
31,NL_Battery,NL_Balance,2030,1,1.0,1.0,19,21,0.0
32,NL_Battery,NL_Balance,2030,1,1.0,1.0,22,24,0.0
33,NL_Balance,NL_Battery,2030,1,1.0,1.0,1,3,0.0
34,NL_Balance,NL_Battery,2030,1,1.0,1.0,4,6,0.0
35,NL_Balance,NL_Battery,2030,1,1.0,1.0,7,9,0.0
36,NL_Balance,NL_Battery,2030,1,1.0,1.0,10,12,0.0
