id,asset,year,period_block_start,period_block_end,solution
1,AT_Hydro_Reservoir,2050,1,6,393395.0913533081
2,AT_Hydro_Reservoir,2050,7,12,407579.79295218503
3,AT_Hydro_Reservoir,2050,13,18,423093.2769089173
4,AT_Hydro_Reservoir,2050,19,24,397326.25841928786
5,AT_Hydro_Reservoir,2050,25,30,411796.5885865506
6,AT_Hydro_Reservoir,2050,31,36,397894.6069731259
7,AT_Hydro_Reservoir,2050,37,42,415041.2510317432
8,AT_Hydro_Reservoir,2050,43,48,420304.1090385119
9,AT_Hydro_Reservoir,2050,49,54,436334.3513322965
10,AT_Hydro_Reservoir,2050,55,60,450592.3009065366
11,AT_Hydro_Reservoir,2050,61,66,465275.0116668221
12,AT_Hydro_Reservoir,2050,67,72,485697.6130445743
13,AT_Hydro_Reservoir,2050,73,78,477148.2592138587
14,AT_Hydro_Reservoir,2050,79,84,467057.7424322651
15,AT_Hydro_Reservoir,2050,85,90,482875.604133027
16,AT_Hydro_Reservoir,2050,91,96,502080.1694795747
17,AT_Hydro_Reservoir,2050,97,102,522290.39026430424
18,AT_Hydro_Reservoir,2050,103,108,543635.7619895103
19,AT_Hydro_Reservoir,2050,109,114,565387.1457251179
20,AT_Hydro_Reservoir,2050,115,120,525493.2168674273
21,AT_Hydro_Reservoir,2050,121,126,569759.5048886256
22,AT_Hydro_Reservoir,2050,127,132,641626.4109284929
23,AT_Hydro_Reservoir,2050,133,138,658292.0809310221
24,AT_Hydro_Reservoir,2050,139,144,592155.8968775439
25,AT_Hydro_Reservoir,2050,145,150,581220.9488614039
26,AT_Hydro_Reservoir,2050,151,156,653087.8549012712
27,AT_Hydro_Reservoir,2050,157,162,706876.5562412104
28,AT_Hydro_Reservoir,2050,163,168,684669.0911981208
29,AT_Hydro_Reservoir,2050,169,174,655264.1975967253
30,AT_Hydro_Reservoir,2050,175,180,635381.7173140707
31,AT_Hydro_Reservoir,2050,181,186,598779.3951543695
32,AT_Hydro_Reservoir,2050,187,192,645776.2823799023
33,AT_Hydro_Reservoir,2050,193,198,609173.9602202009
34,AT_Hydro_Reservoir,2050,199,204,622731.1636916402
35,AT_Hydro_Reservoir,2050,205,210,669728.050917173
36,AT_Hydro_Reservoir,2050,211,216,666565.4125115656
37,AT_Hydro_Reservoir,2050,217,222,629963.0903518642
38,AT_Hydro_Reservoir,2050,223,228,626800.4519462566
39,AT_Hydro_Reservoir,2050,229,234,623637.813540649
40,AT_Hydro_Reservoir,2050,235,240,687354.5426432287
41,AT_Hydro_Reservoir,2050,241,246,693985.1905552394
42,AT_Hydro_Reservoir,2050,247,252,724262.2359037255
43,AT_Hydro_Reservoir,2050,253,258,757000.0
44,AT_Hydro_Reservoir,2050,259,264,733909.2954017251
45,AT_Hydro_Reservoir,2050,265,270,680923.8652475285
46,AT_Hydro_Reservoir,2050,271,276,686915.8621843723
47,AT_Hydro_Reservoir,2050,277,282,663136.9179373949
48,AT_Hydro_Reservoir,2050,283,288,632025.4061205876
49,AT_Hydro_Reservoir,2050,289,294,586372.543536221
50,AT_Hydro_Reservoir,2050,295,300,562359.0685904922
51,AT_Hydro_Reservoir,2050,301,306,539268.3639922173
