id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,AT_E_ENS,2050,1,1,4,0.0
2,AT_E_ENS,2050,1,5,8,0.0
3,AT_E_ENS,2050,1,9,12,0.0
4,AT_E_ENS,2050,1,13,16,0.0
5,AT_E_ENS,2050,1,17,20,0.0
6,AT_E_ENS,2050,1,21,24,0.0
7,AT_E_ENS,2050,2,1,4,0.0
8,AT_E_ENS,2050,2,5,8,0.0
9,AT_E_ENS,2050,2,9,12,0.0
10,AT_E_ENS,2050,2,13,16,0.0
11,AT_E_ENS,2050,2,17,20,0.0
12,AT_E_ENS,2050,2,21,24,0.0
13,AT_E_ENS,2050,3,1,4,0.0
14,AT_E_ENS,2050,3,5,8,0.0
15,AT_E_ENS,2050,3,9,12,0.0
16,AT_E_ENS,2050,3,13,16,0.0
17,AT_E_ENS,2050,3,17,20,0.0
18,AT_E_ENS,2050,3,21,24,0.0
19,AT_E_ENS,2050,4,1,4,0.0
20,AT_E_ENS,2050,4,5,8,0.0
21,AT_E_ENS,2050,4,9,12,0.0
22,AT_E_ENS,2050,4,13,16,0.0
23,AT_E_ENS,2050,4,17,20,0.0
24,AT_E_ENS,2050,4,21,24,0.0
25,AT_E_ENS,2050,5,1,4,0.0
26,AT_E_ENS,2050,5,5,8,0.0
27,AT_E_ENS,2050,5,9,12,0.0
28,AT_E_ENS,2050,5,13,16,0.0
29,AT_E_ENS,2050,5,17,20,0.0
30,AT_E_ENS,2050,5,21,24,0.0
31,AT_E_ENS,2050,6,1,4,0.0
32,AT_E_ENS,2050,6,5,8,0.0
33,AT_E_ENS,2050,6,9,12,0.0
34,AT_E_ENS,2050,6,13,16,0.0
35,AT_E_ENS,2050,6,17,20,0.0
36,AT_E_ENS,2050,6,21,24,0.0
37,AT_E_ENS,2050,7,1,4,0.0
38,AT_E_ENS,2050,7,5,8,0.0
39,AT_E_ENS,2050,7,9,12,0.0
40,AT_E_ENS,2050,7,13,16,0.0
41,AT_E_ENS,2050,7,17,20,0.0
42,AT_E_ENS,2050,7,21,24,0.0
43,AT_E_ENS,2050,8,1,4,0.0
44,AT_E_ENS,2050,8,5,8,0.0
45,AT_E_ENS,2050,8,9,12,0.0
46,AT_E_ENS,2050,8,13,16,0.0
47,AT_E_ENS,2050,8,17,20,0.0
48,AT_E_ENS,2050,8,21,24,0.0
49,AT_E_ENS,2050,9,1,4,0.0
50,AT_E_ENS,2050,9,5,8,0.0
51,AT_E_ENS,2050,9,9,12,0.0
52,AT_E_ENS,2050,9,13,16,0.0
53,AT_E_ENS,2050,9,17,20,0.0
54,AT_E_ENS,2050,9,21,24,0.0
55,AT_E_ENS,2050,10,1,4,0.0
56,AT_E_ENS,2050,10,5,8,0.0
57,AT_E_ENS,2050,10,9,12,0.0
58,AT_E_ENS,2050,10,13,16,0.0
59,AT_E_ENS,2050,10,17,20,0.0
60,AT_E_ENS,2050,10,21,24,0.0
61,AT_Gas,2050,1,1,4,0.0
62,AT_Gas,2050,1,5,8,0.0
63,AT_Gas,2050,1,9,12,0.0
64,AT_Gas,2050,1,13,16,0.0
65,AT_Gas,2050,1,17,20,0.0
66,AT_Gas,2050,1,21,24,0.0
67,AT_Gas,2050,2,1,4,0.0
68,AT_Gas,2050,2,5,8,0.0
69,AT_Gas,2050,2,9,12,0.0
70,AT_Gas,2050,2,13,16,0.0
71,AT_Gas,2050,2,17,20,0.0
72,AT_Gas,2050,2,21,24,0.0
73,AT_Gas,2050,3,1,4,0.0
74,AT_Gas,2050,3,5,8,0.0
75,AT_Gas,2050,3,9,12,0.0
76,AT_Gas,2050,3,13,16,0.0
77,AT_Gas,2050,3,17,20,0.0
78,AT_Gas,2050,3,21,24,0.0
79,AT_Gas,2050,4,1,4,0.0
80,AT_Gas,2050,4,5,8,0.0
81,AT_Gas,2050,4,9,12,0.0
82,AT_Gas,2050,4,13,16,0.0
83,AT_Gas,2050,4,17,20,0.0
84,AT_Gas,2050,4,21,24,0.0
85,AT_Gas,2050,5,1,4,0.0
86,AT_Gas,2050,5,5,8,0.0
87,AT_Gas,2050,5,9,12,0.0
88,AT_Gas,2050,5,13,16,0.0
89,AT_Gas,2050,5,17,20,0.0
90,AT_Gas,2050,5,21,24,0.0
91,AT_Gas,2050,6,1,4,0.0
92,AT_Gas,2050,6,5,8,0.0
93,AT_Gas,2050,6,9,12,0.0
94,AT_Gas,2050,6,13,16,0.0
95,AT_Gas,2050,6,17,20,0.0
96,AT_Gas,2050,6,21,24,0.0
97,AT_Gas,2050,7,1,4,0.0
98,AT_Gas,2050,7,5,8,0.0
99,AT_Gas,2050,7,9,12,0.0
100,AT_Gas,2050,7,13,16,0.0
101,AT_Gas,2050,7,17,20,0.0
102,AT_Gas,2050,7,21,24,0.0
103,AT_Gas,2050,8,1,4,0.0
104,AT_Gas,2050,8,5,8,0.0
