id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,1,0.0
2,AT_Battery,2050,1,2,2,0.0
3,AT_Battery,2050,1,3,3,118.58557242186725
4,AT_Battery,2050,1,4,4,118.58557242186725
5,AT_Battery,2050,1,5,5,457.6472314982457
6,AT_Battery,2050,1,6,6,378.33561075498164
7,AT_Battery,2050,1,7,7,185.61830750837817
8,AT_Battery,2050,1,8,8,114.61121962052675
9,AT_Battery,2050,1,9,9,0.0
10,AT_Battery,2050,1,10,10,9.819442789563254
11,AT_Battery,2050,1,11,11,16.765905233951344
12,AT_Battery,2050,1,12,12,4.237493697079117
13,AT_Battery,2050,1,13,13,0.0
14,AT_Battery,2050,1,14,14,256.6124926391167
15,AT_Battery,2050,1,15,15,457.6472314982457
16,AT_Battery,2050,1,16,16,283.85289408596327
17,AT_Battery,2050,1,17,17,457.6472314982457
18,AT_Battery,2050,1,18,18,339.0616590763784
19,AT_Battery,2050,1,19,19,0.0
20,AT_Battery,2050,1,20,20,0.0
21,AT_Battery,2050,1,21,21,0.0
22,AT_Battery,2050,1,22,22,0.0
23,AT_Battery,2050,1,23,23,0.0
24,AT_Battery,2050,1,24,24,0.0
25,AT_Battery,2050,2,1,1,0.0
26,AT_Battery,2050,2,2,2,0.0
27,AT_Battery,2050,2,3,3,0.0
28,AT_Battery,2050,2,4,4,0.0
29,AT_Battery,2050,2,5,5,0.0
30,AT_Battery,2050,2,6,6,0.0
31,AT_Battery,2050,2,7,7,0.0
32,AT_Battery,2050,2,8,8,0.0
33,AT_Battery,2050,2,9,9,0.0
34,AT_Battery,2050,2,10,10,0.0
35,AT_Battery,2050,2,11,11,0.0
36,AT_Battery,2050,2,12,12,0.0
37,AT_Battery,2050,2,13,13,0.0
38,AT_Battery,2050,2,14,14,0.0
39,AT_Battery,2050,2,15,15,0.0
40,AT_Battery,2050,2,16,16,0.0
41,AT_Battery,2050,2,17,17,0.0
42,AT_Battery,2050,2,18,18,0.0
43,AT_Battery,2050,2,19,19,0.0
44,AT_Battery,2050,2,20,20,0.0
45,AT_Battery,2050,2,21,21,0.0
46,AT_Battery,2050,2,22,22,0.0
47,AT_Battery,2050,2,23,23,0.0
48,AT_Battery,2050,2,24,24,0.0
49,AT_Battery,2050,3,1,1,0.0
50,AT_Battery,2050,3,2,2,36.88175402728302
51,AT_Battery,2050,3,3,3,375.94341310366144
52,AT_Battery,2050,3,4,4,375.94341310366144
53,AT_Battery,2050,3,5,5,375.94341310366144
54,AT_Battery,2050,3,6,6,457.6472314982457
55,AT_Battery,2050,3,7,7,351.77500926958965
56,AT_Battery,2050,3,8,8,351.77500926958965
57,AT_Battery,2050,3,9,9,351.77500926958965
58,AT_Battery,2050,3,10,10,270.45230254293347
59,AT_Battery,2050,3,11,11,0.0
60,AT_Battery,2050,3,12,12,0.0
61,AT_Battery,2050,3,13,13,0.0
62,AT_Battery,2050,3,14,14,118.58557242186725
63,AT_Battery,2050,3,15,15,118.58557242186725
64,AT_Battery,2050,3,16,16,457.6472314982457
65,AT_Battery,2050,3,17,17,450.72912798010475
66,AT_Battery,2050,3,18,18,111.66746890372633
67,AT_Battery,2050,3,19,19,0.0
68,AT_Battery,2050,3,20,20,0.0
69,AT_Battery,2050,3,21,21,0.0
70,AT_Battery,2050,3,22,22,0.0
71,AT_Battery,2050,3,23,23,0.0
72,AT_Battery,2050,3,24,24,0.0
73,AT_Battery,2050,4,1,1,0.0
74,AT_Battery,2050,4,2,2,0.0
75,AT_Battery,2050,4,3,3,0.0
76,AT_Battery,2050,4,4,4,0.0
77,AT_Battery,2050,4,5,5,148.36655538707055
78,AT_Battery,2050,4,6,6,457.6472314982457
79,AT_Battery,2050,4,7,7,323.466563396154
80,AT_Battery,2050,4,8,8,323.466563396154
81,AT_Battery,2050,4,9,9,0.0
82,AT_Battery,2050,4,10,10,0.0
83,AT_Battery,2050,4,11,11,0.0
84,AT_Battery,2050,4,12,12,118.58557242186725
85,AT_Battery,2050,4,13,13,457.6472314982457
86,AT_Battery,2050,4,14,14,457.6472314982457
87,AT_Battery,2050,4,15,15,457.6472314982457
88,AT_Battery,2050,4,16,16,457.6472314982457
89,AT_Battery,2050,4,17,17,405.2774089041559
90,AT_Battery,2050,4,18,18,328.2463386960899
91,AT_Battery,2050,4,19,19,0.0
92,AT_Battery,2050,4,20,20,0.0
93,AT_Battery,2050,4,21,21,301.7348079996118
94,AT_Battery,2050,4,22,22,0.0
95,AT_Battery,2050,4,23,23,202.037407163436
96,AT_Battery,2050,4,24,24,0.0
97,AT_Battery,2050,5,1,1,0.0
98,AT_Battery,2050,5,2,2,0.0
99,AT_Battery,2050,5,3,3,0.0
100,AT_Battery,2050,5,4,4,0.0
101,AT_Battery,2050,5,5,5,0.0
102,AT_Battery,2050,5,6,6,0.0
103,AT_Battery,2050,5,7,7,0.0
104,AT_Battery,2050,5,8,8,0.0
105,AT_Battery,2050,5,9,9,0.0
106,AT_Battery,2050,5,10,10,0.0
107,AT_Battery,2050,5,11,11,0.0
108,AT_Battery,2050,5,12,12,0.0
109,AT_Battery,2050,5,13,13,0.0
110,AT_Battery,2050,5,14,14,0.0
111,AT_Battery,2050,5,15,15,242.51775893368904
112,AT_Battery,2050,5,16,16,457.6472314982457
113,AT_Battery,2050,5,17,17,457.6472314982457
114,AT_Battery,2050,5,18,18,118.58557242186725
115,AT_Battery,2050,5,19,19,27.2917364982859
116,AT_Battery,2050,5,20,20,0.0
117,AT_Battery,2050,5,21,21,0.0
118,AT_Battery,2050,5,22,22,0.0
119,AT_Battery,2050,5,23,23,0.0
120,AT_Battery,2050,5,24,24,0.0
121,AT_Battery,2050,6,1,1,0.0
122,AT_Battery,2050,6,2,2,0.0
123,AT_Battery,2050,6,3,3,0.0
124,AT_Battery,2050,6,4,4,0.0
125,AT_Battery,2050,6,5,5,0.0
126,AT_Battery,2050,6,6,6,0.0
127,AT_Battery,2050,6,7,7,0.0
128,AT_Battery,2050,6,8,8,0.0
129,AT_Battery,2050,6,9,9,0.0
130,AT_Battery,2050,6,10,10,0.0
131,AT_Battery,2050,6,11,11,0.0
132,AT_Battery,2050,6,12,12,0.0
133,AT_Battery,2050,6,13,13,0.0
134,AT_Battery,2050,6,14,14,0.0
135,AT_Battery,2050,6,15,15,0.0
136,AT_Battery,2050,6,16,16,0.0
137,AT_Battery,2050,6,17,17,0.0
138,AT_Battery,2050,6,18,18,339.0616590763784
139,AT_Battery,2050,6,19,19,325.69549846349037
140,AT_Battery,2050,6,20,20,0.0
141,AT_Battery,2050,6,21,21,0.0
142,AT_Battery,2050,6,22,22,0.0
143,AT_Battery,2050,6,23,23,0.0
144,AT_Battery,2050,6,24,24,0.0
145,AT_Battery,2050,7,1,1,41.075980768512636
146,AT_Battery,2050,7,2,2,56.612216030112904
147,AT_Battery,2050,7,3,3,345.4637181298667
148,AT_Battery,2050,7,4,4,457.6472314982457
149,AT_Battery,2050,7,5,5,204.58315769294768
150,AT_Battery,2050,7,6,6,204.58315769294768
151,AT_Battery,2050,7,7,7,0.0
152,AT_Battery,2050,7,8,8,0.0
153,AT_Battery,2050,7,9,9,0.0
154,AT_Battery,2050,7,10,10,0.0
155,AT_Battery,2050,7,11,11,0.0
156,AT_Battery,2050,7,12,12,0.0
157,AT_Battery,2050,7,13,13,0.0
158,AT_Battery,2050,7,14,14,0.0
159,AT_Battery,2050,7,15,15,339.0616590763784
160,AT_Battery,2050,7,16,16,457.6472314982457
161,AT_Battery,2050,7,17,17,457.6472314982457
162,AT_Battery,2050,7,18,18,339.0616590763784
163,AT_Battery,2050,7,19,19,0.0
