id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2050,false,10.0,,0.16309682035862352
2,BE_Battery,2050,false,10.0,,0.0
3,DE_Battery,2050,false,10.0,,1.0159623453742825
4,FR_Battery,2050,false,10.0,,0.0
5,LU_Battery,2050,false,10.0,,4.824220544400077
6,CH_Battery,2050,false,10.0,,0.062214605741974086
7,UK_Battery,2050,false,10.0,,0.7064622901896656
8,DK_Battery,2050,false,10.0,,0.03943708248680196
9,NO_Battery,2050,false,10.0,,1.5451468563667732
10,IE_Battery,2050,false,10.0,,0.0
11,SE_Battery,2050,false,10.0,,0.03179468707094202
12,AT_Battery,2050,false,10.0,,0.0
13,CZ_Battery,2050,false,10.0,,0.7424187787727049
14,PL_Battery,2050,false,10.0,,0.0
15,ES_Battery,2050,false,10.0,,6.345712877050073
16,IT_Battery,2050,false,10.0,,11.22039379378548
17,LT_Battery,2050,false,10.0,,0.0
18,FI_Battery,2050,false,10.0,,3.63312364502267
19,SI_Battery,2050,false,10.0,,26.617973294520652
20,HU_Battery,2050,false,10.0,,33.66357556674765
21,SK_Battery,2050,false,10.0,,8.595073827444883
22,PT_Battery,2050,false,10.0,,31.67838779802487
23,HR_Battery,2050,false,10.0,,0.0
24,RO_Battery,2050,false,10.0,,0.11386725097272574
25,GR_Battery,2050,false,10.0,,37.89945948785451
26,LV_Battery,2050,false,10.0,,3.9086542068348535
27,EE_Battery,2050,false,10.0,,20.72613860113887
28,MT_Battery,2050,false,10.0,,12.021562064452155
29,CY_Battery,2050,false,10.0,,23.851828839322625
30,BG_Battery,2050,false,10.0,,20.98975667063478
